batiste,a thin plain-weave cotton or linen fabric,86
bazooka,a portable rocket launcher used by infantrymen as an antitank weapon,87
beatitude,a state of supreme happiness ,88
belladonna,perennial Eurasian herb with reddish bell-shaped flowers and shining black berries,89
benefice,an endowed church office giving income to its holder ,90
bereavement,state of sorrow over the death or departure of a loved one ,91
bishopric,the territorial jurisdiction of a bishop ,92
blatancy,the property of being both obvious and offensive,93
blooper,an embarrassing mistake ,94
bludgeon,a club used as a weapon v 1: overcome or coerce as if by using a heavy club,95
caboodle,any collection in its entirety,96
cacophony,a loud harsh or strident noise ,97
cadaver,the dead body of a human being,98
calamitous,(of events) having extremely unfortunate or dire consequences,99
calculus,a hard lump produced by the concretion of mineral salts,100
calisthenics,the practice of calisthenic exercises,101
calligrapher,someone skilled in penmanship ,102
camouflage,an outward semblance that misrepresents the true nature of something,103
campanile,a bell tower,104
camphor,a resin obtained from the camphor tree,105
camwood,small shrubby African tree with hard wood used as a dyewood yielding a red dye ,106
candelabrum,branched candlestick,107
cannibalism,the practice of eating the flesh of your own kind,108
cannonade,intense and continuous artillery fire ,109
canorous,richly melodious ,110
cantankerous,stubbornly obstructive and unwilling to cooperate,111
capacitance,an electrical phenomenon whereby an electric charge is stored ,112
capillary,of or relating to hair,113
capsize,overturn accidentally,114
carnivorous,relating to or characteristic of carnivores,115
carotid,of or relating to either of the two major arteries supplying blood to the head and neck,116
carrion,the dead and rotting body of an animal,117
cartilage,tough elastic tissue,118
casserole,food cooked and served in a casserole,119
casuistry,argumentation that is specious or excessively subtle and intended to be misleading,120
catacomb,an underground tunnel with recesses where bodies were buried (as in ancient Rome),121
catalytic,relating to or causing or involving catalysis,122
catarrh,inflammation of the nose and throat with increased production of mucus,123
catatonic,characterized by catatonia especially either rigidity or extreme laxness of limbs,124
catechism,a series of question put to an individual (such as a political candidate) to elicit their views,125
cavalcade,a procession of people traveling on horseback,126
centurion,(ancient Rome) the leader of 100 soldiers,127
ceremonious,characterized by pomp and ceremony and stately display ,128
chancellor,the British cabinet minister responsible for finance ,129
chandelier,branched lighting fixture,130
chapeau,headdress that protects the head from bad weather,131
chateaubriand,French statesman and writer,132
chattel,personal as opposed to real property,133
chauvinistic,of or relating to persons convinced of the superiority of their own gender or kind,134
chenille,a soft tufted cord used in embroidery ,135
cherubic,having a sweet nature befitting an angel or cherub,136
cheviot,hardy hornless sheep of the Cheviot Hills noted for its short thick wool,137
chihuahua,a city in northern Mexico in the state of Chihuahua,138
chimerical,being or relating to or like a chimera,139
chinchilla,the expensive silvery grey fur of the chinchilla,140
chiropodist,a specialist in care for the feet ,141
choleric,easily moved to anger,142
chrysalis,pupa of a moth or butterfly enclosed in a cocoon,143
chrysanthemum,the flower of a chrysanthemum plant,144
churlish,rude and boorish,145
circumlocution,a style that involves indirect ways of expressing things ,146
cirrhosis,a chronic disease interfering with the normal functioning of the liver,147
clairvoyance,apparent power to perceive things that are not present to the senses ,148
classicist,an artistic person who adheres to classicism ,149
clientele,customers collectively,150
coadjutor,an assistant to a bishop,151
coalition,an organization of people (or countries) involved in a pact or treaty ,152
cockatoo,white or light-colored crested parrot of the Australian region,153
cockleshell,a small light flimsy boat,154
collaborator,someone who assists in a plot ,155
collateral,descended from a common ancestor but through different lines,156
collimate,make or place parallel to something,157
colloquialism,a colloquial expression,158
colonnade,structure consisting of a row of evenly spaced columns,159
colophon,a publisher's emblem printed in a book (usually on the title page),160
comestible,suitable for use as food ,161
commensurate,corresponding in size or degree or extent,162
commiseration,a feeling of sympathy and sorrow for the misfortunes of others,163
commissary,a retail store that sells equipment and provisions (usually to military personnel),164
compatible,able to exist and perform in harmonious or agreeable combination,165
compendium,a publication containing a variety of works ,166
conacaste,tropical South American tree having a wide-spreading crown of bipinnate leaves and coiled ear-shaped fruits,167
conceivably,within the realm of possibility,168
concentric,having a common center,169
conchology,the collection and study of mollusc shells ,170
concierge,a French caretaker of apartments or a hotel,171
concomitant,following or accompanying as a consequence,172
condign,fitting or appropriate and deserved,173
condiment,a preparation (a sauce or relish or spice) to enhance flavor or enjoyment,174
conduit,a passage (a pipe or tunnel) through which water or electric wires can pass,175
conflagration,a very intense and uncontrolled fire ,176
confluence,a place where things merge or flow together (especially rivers),177
congenital,present at birth but not necessarily hereditary,178
conglomerate,composed of heterogeneous elements gathered into a mass,179
congruent,corresponding in character or kind ,180
conjugal,of or relating to marriage or to the relationship between a wife and husband,181
conjuration,a ritual recitation of words or sounds believed to have a magical effect ,182
connoisseur,an expert able to appreciate a field,183
connote,express or state indirectly ,184
connubial,in a conjugal manner ,185
consistory,a church tribunal or governing body,186
consomme,clear soup usually of beef or veal or chicken,187
consummate,having or revealing supreme mastery or skill,188
contemporaneous,occurring in the same period of time,189
contemptuous,expressing extreme contempt ,190
contretemps,an awkward clash,191
conundrum,a difficult problem ,192
convergent,tending to come together from different directions ,193
convivial,occupied with or fond of the pleasures of good company,194
convolute,rolled longitudinally upon itself,195
copious,large in number or quantity (especially of discourse),196
coquettishly,in a flirtatious manner,197
cordaites,tall Paleozoic trees superficially resembling modern screw pines,198
coroner,a public official who investigates by inquest any death not due to natural causes ,199
corporeal,having material or physical form or substance,200
corpulent,excessively fat,201
corpuscle,(nontechnical usage) a tiny piece of anything ,202
correlative,mutually related ,203
corridor,an enclosed passageway,204
corrosive,"of a substance, especially a strong acid",205
corrugate,fold into ridges,206
corruptible,capable of being corrupted,207
corsage,an arrangement of flowers that is usually given as a present ,208
corvette,a highly maneuverable escort warship,209
cosmetology,the practice of beautifying the face and hair and skin,210
coterie,an exclusive circle of people with a common purpose ,211
countenance,the appearance conveyed by a person's face,212
counterfeit,not genuine,213
countermand,a contrary command cancelling or reversing a previous command v 1: cancel officially,214
courier,a person who carries a message ,215
couture,high fashion designing and dressmaking,216
covenant,a signed written agreement between two or more parties (nations) to perform some action ,217
covetous,showing extreme cupidity,218
dactylic,of or consisting of dactyls,219
daguerreotype,a photograph made by an early photographic process,220
debacle,a sudden and violent collapse ,221
debauch,a wild gathering involving excessive drinking and promiscuity ,222
debility,the state of being weak in health or body (especially from old age) ,223
decadent,marked by excessive self-indulgence and moral decay,224
decentralization,the social process in which population and industry moves from urban centers to outlying districts ,225
deciduous,(of plants and shrubs) shedding foliage at the end of the growing season ,226
deciphered,converted from cryptic to intelligible language ,227
declamation,vehement oratory,228
defamation,a false accusation of an offense or a malicious misrepresentation of someone's words or actions ,229
defeasible,capable of being annulled or voided or terminated,230
defoliant,a chemical that is sprayed on plants and causes their leaves to fall off,231
delicatessen,ready-to-eat food products ,232
delinquency,nonpayment of a debt when due,233
delouse,free of lice,234
demitasse,small cup of strong black coffee without milk or cream ,235
demography,the branch of sociology that studies the characteristics of human populations ,236
demolition,an event (or the result of an event) that completely destroys something ,237
demurrage,a charge required as compensation for the delay of a ship or freight car or other cargo beyond its scheduled time of departure,238
denunciation,a public act of denouncing ,239
dermatology,the branch of medicine dealing with the skin and its diseases,240
derogatory,expressive of low opinion,241
desensitize,cause not to be sensitive,242
despotism,dominance through threat of punishment and violence ,243
destalinize,counteract the effects and policies of Stalinism,244
desuetude,a state of inactivity or disuse,245
desultory,marked by lack of definite plan or regularity or purpose,246
detergent,having cleansing power ,247
deterrent,tending to deter,248
diacritical,capable of distinguishing,249
dialyzer,a medical instrument for separating substances in solution by unequal diffusion through semipermeable membranes ,250
diaphanous,so thin as to transmit light,251
diaphragm,a mechanical device in a camera that controls size of aperture of the lens,252
diastole,the widening of the chambers of the heart between two contractions when the chambers fill with blood,253
diatribe,thunderous verbal attack ,254
dichotomy,being twofold,255
didactic,instructive (especially excessively) ,256
differential,relating to or showing a difference,257
diffident,showing modest reserve,258
dilatory,wasting time ,259
diluvial,of or connected with a deluge ,260
diminutive,very small,261
diphthong,a vowel sound that starts near the articulatory position for one vowel and moves toward the position for another,262
discountenance,look with disfavor on,263
disparate,fundamentally different or distinct in quality or kind,264
dissentient,(of Catholics) refusing to attend services of the Church of England ,265
dissertation,a treatise advancing a new point of view resulting from research,266
dissident,characterized by departure from accepted beliefs or standards ,267
dissipated,unrestrained by convention or morality,268
dissonant,characterized by musical dissonance,269
dithyramb,a wildly enthusiastic speech or piece of writing,270
diverticulitis,inflammation of a diverticulum in the digestive tract (especially the colon),271
dolomitic,relating to or consisting of dolomite,272
dolorous,showing sorrow ,273
dossier,a collection of papers containing detailed information about a particular person or subject (usually a person's record),274
dowager,a widow holding property received from her deceased husband,275
dubonnet,(trademark) a sweet aromatic French wine (red or white) used chiefly as an aperitif,276
ductile,easily influenced ,277
dyscrasia,an abnormal or physiologically unbalanced state of the body,278
dysentery,an infection of the intestines marked by severe diarrhea,279
ebullition,an unrestrained expression of emotion ,280
ecclesiastical,of or associated with a church (especially a Christian Church),281
eclectic,selecting what seems best of various styles or ideas n 1: someone who selects according to the eclectic method ,282
edelweiss,alpine perennial plant native to Europe having leaves covered with whitish down and small flower heads held in stars of glistening whitish bracts ,283
effaceable,capable of being effaced,284
effeminacy,the trait of being effeminate (derogatory of a man),285
egalitarian,favoring social equality,286
egocentric,limited to or caring only about yourself and your own needs ,287
elasticity,the tendency of a body to return to its original shape after it has been stretched or compressed,288
electioneer,work actively for a political candidate or a party,289
electrocardiogram,a graphical recording of the cardiac cycle produced by an electrocardiograph ,290
electrolysis,(chemistry) a chemical decomposition reaction produced by passing an electric current through a solution containing ions,291
elitist,someone who believes in rule by an elite group ,292
emaciation,extreme leanness (usually caused by starvation or disease) ,293
emphysema,an abnormal condition of the lungs marked by decreased respiratory function,294
empyrean,of or relating to the sky or heavens,295
encephalitis,inflammation of the brain usually caused by a virus,296
encumbrance,an onerous or difficult concern,297
encyclical,intended for wide distribution,298
enervated,lacking strength or vigor ,299
ensemble,a group of musicians playing or singing together,300
entente,an informal alliance between countries ,301
entourage,the group following and attending to some important person ,302
entrepreneurial,of or relating to an entrepreneur,303
enzymology,the branch of biochemistry dealing with the chemical nature and biological activity of enzymes,304
ephemeral,lasting a very short time,305
epicure,a person devoted to refined sensuous enjoyment (especially good food and drink) ,306
epitome,a standard or typical example,307
epsilon,the 5th letter of the Greek alphabet,308
equatorial,of or relating to or at an equator,309
equerry,an official charged with the care of the horses of princes or nobles,310
equivocate,be deliberately ambiguous or unclear in order to mislead or withhold information ,311
erysipelas,an acute streptococcal infection characterized by deep-red inflammation of the skin and mucous membranes,312
escargot,edible terrestrial snail usually served in the shell with a sauce of melted butter and garlic ,313
escheat,a reversion to the state (as the ultimate owner of property) in the absence of legal heirs,314
esoteric,confined to and understandable by only an enlightened inner circle,315
espalier,a trellis on which ornamental shrub or fruit tree is trained to grow flat,316
espousal,archaic terms for a wedding or wedding feast ,317
etiolation,a pale and sickly appearance,318
etymology,a history of a word,319
eucalyptus,wood of any of various eucalyptus trees valued as timber,320
euphemism,an inoffensive or indirect expression that is substituted for one that is considered offensive or too harsh ,321
euphony,any agreeable (pleasing and harmonious) sounds,322
euthanasia,the act of killing someone painlessly (especially someone suffering from an incurable illness) ,323
evanescent,tending to vanish like vapor,324
eviscerate,having been disembowelled v 1: surgically remove a part of a structure or an organ ,325
excoriate,express strong disapproval of,326
exculpate,pronounce not guilty of criminal charges,327
exigency,a pressing or urgent situation,328
exorcism,freeing from evil spirits ,329
expatriate,a person who is voluntarily absent from home or country,330
expeditious,marked by speed and efficiency,331
extempore,without prior preparation,332
extraneous,not pertinent to the matter under consideration,333
extricate,release from entanglement of difficulty,334
facetious,cleverly amusing in tone,335
factitious,not produced by natural forces,336
falsetto,artificially high,337
falsification,any evidence that helps to establish the falsity of something ,338
farrago,a motley assortment of things ,339
fascism,a political theory advocating an authoritarian hierarchical government (as opposed to democracy or liberalism),340
featherbedding,the practice (usually by a labor union) of requiring an employer to hire more workers than are required,341
feckless,not fit to assume responsibility,342
figurine,a small carved or molded figure ,343
filbert,small nut-bearing tree much grown in Europe ,344
finesse,subtly skillful handling of a situation ,345
fissure,a long narrow depression in a surface ,346
flammable,easily ignited ,347
flotsam,the floating wreckage of a ship ,348
follicle,any small spherical group of cells containing a cavity,349
footslogger,fights on foot with small arms ,350
forager,someone who hunts for food and provisions,351
forceps,an extractor consisting of a pair of pincers used in medical treatment (especially for the delivery of babies),352
forfeiture,something that is lost or surrendered as a penalty,353
fortnightly,every two weeks,354
fortuitous,having no cause or apparent cause,355
freebooter,someone who takes spoils or plunder (as in war) ,356
freewheeler,someone acting freely or even irresponsibly ,357
fricassee,pieces of chicken or other meat stewed in gravy with e.g. carrots and onions and served with noodles or dumplings v 1: make a fricassee of by cooking,358
frigate,a medium size square-rigged warship of the 18th and 19th centuries,359
frolicsome,given to merry frolicking,360
galleon,a large square-rigged sailing ship with three or more masts,361
gambrel,a gable roof with two slopes on each side and the lower slope being steeper ,362
gentian,any of various plants of the family Gentianaceae especially the genera Gentiana and Gentianella and Gentianopsis,363
geodesy,the branch of geology that studies the shape of the earth and the determination of the exact position of geographical points,364
geriatrics,the branch of medical science that deals with diseases and problems specific to old people ,365
germicidal,preventing infection by inhibiting the growth or action of microorganisms ,366
glabrous,having no hair or similar growth,367
glaucoma,an eye disease that damages the optic nerve and impairs vision (sometimes progressing to blindness),368
gossamer,characterized by unusual lightness and delicacy,369
gossipy,prone to friendly informal communication ,370
gracile,slender and graceful ,371
granary,a storehouse for threshed grain or animal feed ,372
grandeur,the quality of being magnificent or splendid or grand,373
grandiose,impressive because of unnecessary largeness or grandeur,374
granule,a tiny grain,375
grievous,causing fear or anxiety by threatening great harm,376
grimace,a contorted facial expression,377
gustatory,of or relating to gustation ,378
gyroscopic,having the characteristics of a gyroscope,379
halftone,a print obtained from photoengraving,380
harangue,a loud bombastic declamation expressed with strong emotion ,381
haricot,a French variety of green bean plant bearing light-colored beans,382
hemophilia,congenital tendency to uncontrolled bleeding,383
hemorrhoid,pain caused by venous swelling at or inside the anal sphincter ,384
hepatitis,inflammation of the liver caused by a virus or a toxin,385
herbicide,a chemical agent that destroys plants or inhibits their growth ,386
hermetically,in an airtight manner,387
hermitage,the abode of a hermit,388
hirsute,having or covered with hair,389
histiocyte,a macrophage that is found in connective tissue,390
holocaust,an act of mass destruction and loss of life (especially in war or by fire),391
homogenized,formed by blending unlike elements especially by reducing one element to particles and dispersing them throughout another substance ,392
homophonous,characteristic of the phenomenon of words of different origins that are pronounced the same way,393
horrendous,causing fear or dread or terror,394
horripilation,reflex erection of hairs of the skin in response to cold or emotional stress or skin irritation ,395
hydraulic,moved or operated or effected by liquid (water or oil),396
hyperbole,extravagant exaggeration ,397
hypochondriac,suffering from hypochondria ,398
hypsography,the scientific study of the earth's configuration above sea level (emphasizing the measurement of land altitudes relative to sea level),399
ichthyology,the branch of zoology that studies fishes,400
iconoclast,a destroyer of images used in religious worship ,401
ideogram,a graphic character that indicates the meaning of a thing without indicating the sounds used to say it,402
idiomatic,of or relating to or conforming to idiom,403
idolatry,religious zeal,404
idyllic,excellent and delightful in all respects,405
ignominy,a state of dishonor,406
ignoramus,an ignorant person ,407
illegitimate,contrary to or forbidden by law,408
imbecile,having a mental age of three to seven years ,409
imbibition,(chemistry) the absorption of a liquid by a solid or gel,410
imbricate,used especially of leaves or bracts,411
imitative,marked by or given to imitation,412
immersion,sinking until covered completely with water ,413
immolate,offer as a sacrifice by killing or by giving up to destruction,414
immunize,law: grant immunity from prosecution ,415
immutable,not subject or susceptible to change or variation in form or quality or nature,416
impalpable,incapable of being perceived by the senses especially the sense of touch,417
impasse,a situation in which no progress can be made or no advancement is possible,418
impeccable,without fault or error,419
impecunious,not having enough money to pay for necessities ,420
impedimenta,any structure that makes progress difficult ,421
impinge,impinge or infringe upon,422
impishness,the trait of behaving like an imp ,423
implacable,incapable of being placated,424
importune,beg persistently and urgently,425
imprimatur,formal and explicit approval,426
impropriety,an improper demeanor ,427
impunity,exemption from punishment or loss,428
inanity,total lack of meaning or ideas ,429
incendiary,involving deliberate burning of property,430
inchoate,only partly in existence,431
incipient,only partly in existence,432
incision,a depression scratched or carved into a surface ,433
inclemency,weather unsuitable for outdoor activities ,434
incoherence,lack of cohesion or clarity or organization ,435
incommutable,not subject to alteration or change ,436
incomprehensible,incapable of being explained or accounted for,437
incorrigible,impervious to correction by punishment ,438
incursive,involving invasion or aggressive attack,439
indefeasible,not liable to being annulled or voided or undone,440
indelibly,in an indelible manner,441
indemnity,protection against future loss ,442
indictment,a formal document written for a prosecuting attorney charging a person with some offense ,443
indigenous,originating where it is found,444
indubitable,too obvious to be doubted ,445
ineffable,defying expression or description,446
ineligibility,the quality or state of being ineligible ,447
ineradicable,not able to be destroyed or rooted out,448
inexorable,not to be placated or appeased or moved by entreaty,449
infatuation,a foolish and usually extravagant passion or love or admiration,450
infinitesimal,infinitely or immeasurably small,451
infrared,having or employing wavelengths longer than light but shorter than radio waves,452
ingenuous,characterized by an inability to mask your feelings,453
ingratiate,gain favor with somebody by deliberate efforts,454
inimical,not friendly,455
iniquitous,characterized by iniquity,456
injurious,harmful to living things,457
innocuous,not injurious to physical or mental health ,458
insatiable,impossible to satisfy,459
inscrutable,of an obscure nature,460
insomniac,experiencing or accompanied by sleeplessness,461
insouciance,the cheerful feeling you have when nothing is troubling you ,462
insulin,hormone secreted by the isles of Langerhans in the pancreas,463
insurgent,in opposition to a civil authority or government ,464
intercom,a communication system linking different rooms within a building or ship etc ,465
interlocutor,the performer in the middle of a minstrel line who engages the others in talk ,466
interloper,someone who intrudes on the privacy or property of another without permission ,467
intermezzo,a short movement coming between the major sections of a symphony,468
interminable,tiresomely long,469
internecine,(of conflict) within a group or organization,470
interregnum,"the time between two reigns, governments, etc.",471
interrogatory,relating to the use of or having the nature of an interrogation ,472
intrinsic,belonging to a thing by its very nature,473
intussusception,the folding in of an outer layer so as to form a pocket in the surface,474
inunction,anointing as part of a religious ceremony or healing ritual ,475
inundate,fill quickly beyond capacity,476
invidious,containing or implying a slight or showing prejudice,477
irascible,quickly aroused to anger,478
irreconcilable,impossible to reconcile,479
irreducible,incapable of being made smaller or simpler,480
irremediable,impossible to remedy or correct or redress,481
irretrievably,in an irretrievable manner,482
isosceles,(of a triangle) having two sides of equal length,483
isothermal,of a process or change taking place at constant temperature,484
itinerary,an established line of travel or access ,485
jamboree,a gay festivity ,486
jejunum,the part of the small intestine between the duodenum and the ileum,487
jeremiad,a long and mournful complaint,488
jingoism,an appeal intended to arouse patriotic emotions ,489
jocosity,fun characterized by humor ,490
jollity,feeling jolly and jovial and full of good humor ,491
journalism,newspapers and magazines collectively ,492
jubilation,a feeling of extreme joy ,493
judiciary,persons who administer justice ,494
juxtaposition,the act of positioning close together (or side by side),495
kaleidoscope,a complex pattern of constantly changing colors and shapes,496
kamikaze,a fighter plane used for suicide missions by Japanese pilots in World War II,497
klavern,a local unit of the Ku Klux Klan,498
labyrinth,complex system of paths or tunnels in which it is easy to get lost ,499
laceration,a torn ragged wound,500
lachrymose,showing sorrow ,501
lactose,a sugar comprising one glucose molecule linked to a galactose molecule,502
lagniappe,a small gift (especially one given by a merchant to a customer who makes a purchase),503
lallation,defective articulation of the `l' phoneme or the phoneme `r' is pronounced as `l',504
landlubber,a person who lives and works on land ,505
larcenous,having a disposition to steal ,506
latrine,a public toilet in a military area,507
laureate,worthy of the greatest honor or distinction,508
layette,kit consisting of a complete outfit (clothing and accessories) for a new baby,509
lebensraum,space sought for occupation by a nation whose population is expanding ,510
lethargic,deficient in alertness or activity,511
lieutenancy,the position of a lieutenant,512
ligustrum,genus of Old World shrubs: privet ,513
lilliputian,tiny,514
lingerie,women's underwear and nightclothes ,515
litigious,of or relating to litigation,516
lobotomy,surgical interruption of nerve tracts to and from the frontal lobe of the brain,517
logistician,a person skilled at symbolic logic ,518
lucidity,free from obscurity and easy to understand,519
lucrative,producing a sizeable profit,520
lugubrious,excessively mournful,521
luxuriant,marked by complexity and richness of detail,522
macrame,a relatively coarse lace,523
macrobiotics,the theory of promoting health and longevity by means of diet (especially whole beans and grains),524
mademoiselle,small silvery drumfish often mistaken for white perch,525
magneto,a small dynamo with a secondary winding that produces a high voltage enabling a spark to jump between the poles of a spark plug in a gasoline engine ,526
magnificence,splendid or imposing in size or appearance,527
maladroit,not adroit,528
mammalia,warm-blooded vertebrates characterized by mammary glands in the female ,529
mandamus,an extraordinary writ commanding an official to perform a ministerial act that the law recognizes as an absolute duty and not a matter for the official's discretion,530
manicurist,a beautician who cleans and trims and polishes the fingernails,531
maraschino,distilled from fermented juice of bitter wild marasca cherries ,532
marsupial,of or relating to the marsupials,533
masseuse,a female massager,534
matriarchal,characteristic of a matriarchy ,535
matriculation,admission to a group (especially a college or university) ,536
measurable,capable of being measured,537
meerschaum,a white clayey mineral ,538
melancholia,extreme depression characterized by tearful sadness and irrational fears,539
mellifluous,pleasing to the ear,540
memorabilia,a record of things worth remembering,541
mendacious,given to lying,542
mephitic,of noxious stench from atmospheric pollution ,543
metallurgical,of or relating to metallurgy,544
metamorphosis,the marked and rapid transformation of a larva into an adult that occurs in some animals ,545
metricize,express in the metric system ,546
microcosm,a miniature model of something,547
millennium,a span of 1000 years ,548
miniature,being on a very small scale,549
misanthropic,believing the worst of human nature and motives,550
misdemeanor,a crime less serious than a felony ,551
misogyny,hatred of women ,552
mnemonic,of or relating to or involved the practice of aiding the memory,553
monogamy,having only one spouse at a time ,554
monolith,a single great stone (often in the form of a column or obelisk),555
monotony,"the quality of wearisome constancy, routine, and lack of variety",556
monsieur,used as a French courtesy title,557
nauseate,upset and make nauseated,558
nefarious,extremely wicked,559
negligence,failure to act with the prudence that a reasonable person would exercise under the same circumstances ,560
neoplasm,an abnormal new mass of tissue that serves no purpose ,561
nescience,ignorance (especially of orthodox beliefs) ,562
neurotic,characteristic of or affected by neurosis,563
niggardly,petty or reluctant in giving or spending,564
nomenclature,a system of words used to name things in a particular discipline,565
nonagenarian,being from 90 to 99 years old,566
obdurate,stubbornly persistent in wrongdoing ,567
obeisance,bending the head or body or knee as a sign of reverence or submission or shame or greeting ,568
oblique,slanting or inclined in direction or course or position-- neither parallel nor perpendicular nor right-angled,569
oblivion,the state of being disregarded or forgotten ,570
obloquy,state of disgrace resulting from public abuse ,571
obstetrics,the branch of medicine dealing with childbirth and care of the mother ,572
obviate,do away with ,573
occidental,denoting or characteristic of countries of Europe and the western hemisphere,574
odometer,a meter that shows mileage traversed ,575
odoriferous,morally offensive,576
odyssey,a long wandering and eventful journey,577
officiousness,aggressiveness as evidenced by intruding,578
omniscience,the state of being omniscient,579
omnivorous,feeding on both plants and animals ,580
opalescent,having a play of lustrous rainbow colors,581
ophthalmic,of or relating to the eye,582
opprobrious,expressing offensive reproach ,583
organza,a fabric made of silk or a silklike fabric that resembles organdy,584
orthoepist,a practitioner of orthoepy (especially one of the 17th or 18th century scholars who proposed to reform English spelling so it would reflect pronunciation more closely),585
oscillation,the process of oscillating between states,586
ostentatiously,with ostentation,587
pachyderm,any of various nonruminant hoofed mammals having very thick skin: elephant,588
palatable,acceptable to the taste or mind,589
palaver,flattery intended to persuade ,590
palpitation,a rapid and irregular heart beat,591
panacea,(Greek mythology) the goddess of healing,592
panegyric,formally expressing praise ,593
panoplied,equipped with the complete arms and armor of a warrior ,594
panoramic,as from an altitude or distance,595
paranoia,a psychological disorder characterized by delusions of persecution or grandeur,596
paraphernalia,equipment consisting of miscellaneous articles needed for a particular operation or sport etc. ,597
parasol,a handheld collapsible source of shade ,598
paroxysm,a sudden uncontrollable attack,599
parquet,a floor made of parquetry ,600
parsnip,the whitish root of cultivated parsnip,601
pathology,the branch of medical science that studies the causes and nature and effects of diseases,602
paucity,an insufficient quantity or number ,603
pavilion,large and often sumptuous tent ,604
peccadillo,a petty misdeed ,605
pecuniary,relating to or involving money,606
pedagogy,the principles and methods of instruction ,607
pedodontist,a dentist who specializes in the care of children's teeth,608
pellagra,a disease caused by deficiency of niacin or tryptophan (or by a defect in the metabolic conversion of tryptophan to niacin),609
percipient,characterized by ease and quickness in perceiving,610
peregrinate,"travel around, through, or over, especially on foot",611
peremptory,offensively self-assured or given to exercising usually unwarranted power,612
